date,hits,search_term
6/2/2013,66,Monash University
6/9/2013,76,Monash University
6/16/2013,74,Monash University
6/23/2013,65,Monash University
6/30/2013,57,Monash University
7/7/2013,62,Monash University
7/14/2013,79,Monash University
7/21/2013,81,Monash University
7/28/2013,100,Monash University
8/4/2013,83,Monash University
8/11/2013,76,Monash University
8/18/2013,75,Monash University
8/25/2013,75,Monash University
9/1/2013,67,Monash University
9/8/2013,75,Monash University
9/15/2013,68,Monash University
9/22/2013,68,Monash University
9/29/2013,63,Monash University
10/6/2013,70,Monash University
10/13/2013,75,Monash University
10/20/2013,69,Monash University
10/27/2013,61,Monash University
11/3/2013,60,Monash University
11/10/2013,62,Monash University
11/17/2013,56,Monash University
11/24/2013,57,Monash University
12/1/2013,53,Monash University
12/8/2013,56,Monash University
12/15/2013,62,Monash University
12/22/2013,37,Monash University
12/29/2013,43,Monash University
1/5/2014,56,Monash University
1/12/2014,70,Monash University
1/19/2014,68,Monash University
1/26/2014,61,Monash University
2/2/2014,60,Monash University
2/9/2014,59,Monash University
2/16/2014,67,Monash University
2/23/2014,76,Monash University
3/2/2014,79,Monash University
3/9/2014,68,Monash University
3/16/2014,60,Monash University
3/23/2014,65,Monash University
3/30/2014,62,Monash University
4/6/2014,58,Monash University
4/13/2014,54,Monash University
4/20/2014,55,Monash University
4/27/2014,55,Monash University
5/4/2014,60,Monash University
5/11/2014,58,Monash University
5/18/2014,62,Monash University
5/25/2014,61,Monash University
6/1/2014,54,Monash University
6/8/2014,48,Monash University
6/15/2014,51,Monash University
6/22/2014,49,Monash University
6/29/2014,45,Monash University
7/6/2014,54,Monash University
7/13/2014,61,Monash University
7/20/2014,74,Monash University
7/27/2014,82,Monash University
8/3/2014,66,Monash University
8/10/2014,64,Monash University
8/17/2014,62,Monash University
8/24/2014,58,Monash University
8/31/2014,52,Monash University
9/7/2014,50,Monash University
9/14/2014,57,Monash University
9/21/2014,52,Monash University
9/28/2014,48,Monash University
10/5/2014,50,Monash University
10/12/2014,56,Monash University
10/19/2014,54,Monash University
10/26/2014,56,Monash University
11/2/2014,49,Monash University
11/9/2014,50,Monash University
11/16/2014,48,Monash University
11/23/2014,46,Monash University
11/30/2014,43,Monash University
12/7/2014,45,Monash University
12/14/2014,52,Monash University
12/21/2014,36,Monash University
12/28/2014,36,Monash University
1/4/2015,49,Monash University
1/11/2015,51,Monash University
1/18/2015,57,Monash University
1/25/2015,53,Monash University
2/1/2015,55,Monash University
2/8/2015,52,Monash University
2/15/2015,53,Monash University
2/22/2015,62,Monash University
3/1/2015,66,Monash University
3/8/2015,55,Monash University
3/15/2015,52,Monash University
3/22/2015,47,Monash University
3/29/2015,45,Monash University
4/5/2015,43,Monash University
4/12/2015,51,Monash University
4/19/2015,53,Monash University
4/26/2015,53,Monash University
5/3/2015,54,Monash University
5/10/2015,57,Monash University
5/17/2015,54,Monash University
5/24/2015,49,Monash University
5/31/2015,46,Monash University
6/7/2015,45,Monash University
6/14/2015,48,Monash University
6/21/2015,44,Monash University
6/28/2015,44,Monash University
7/5/2015,45,Monash University
7/12/2015,53,Monash University
7/19/2015,54,Monash University
7/26/2015,69,Monash University
8/2/2015,61,Monash University
8/9/2015,56,Monash University
8/16/2015,53,Monash University
8/23/2015,51,Monash University
8/30/2015,51,Monash University
9/6/2015,48,Monash University
9/13/2015,48,Monash University
9/20/2015,46,Monash University
9/27/2015,42,Monash University
10/4/2015,46,Monash University
10/11/2015,53,Monash University
10/18/2015,51,Monash University
10/25/2015,48,Monash University
11/1/2015,44,Monash University
11/8/2015,44,Monash University
11/15/2015,42,Monash University
11/22/2015,44,Monash University
11/29/2015,41,Monash University
12/6/2015,43,Monash University
12/13/2015,55,Monash University
12/20/2015,35,Monash University
12/27/2015,36,Monash University
1/3/2016,44,Monash University
1/10/2016,49,Monash University
1/17/2016,63,Monash University
1/24/2016,48,Monash University
1/31/2016,55,Monash University
2/7/2016,53,Monash University
2/14/2016,51,Monash University
2/21/2016,63,Monash University
2/28/2016,58,Monash University
3/6/2016,53,Monash University
3/13/2016,53,Monash University
3/20/2016,44,Monash University
3/27/2016,44,Monash University
4/3/2016,49,Monash University
4/10/2016,54,Monash University
4/17/2016,48,Monash University
4/24/2016,47,Monash University
5/1/2016,49,Monash University
5/8/2016,50,Monash University
5/15/2016,57,Monash University
5/22/2016,55,Monash University
5/29/2016,46,Monash University
6/5/2016,50,Monash University
6/12/2016,46,Monash University
6/19/2016,45,Monash University
6/26/2016,42,Monash University
7/3/2016,50,Monash University
7/10/2016,44,Monash University
7/17/2016,46,Monash University
7/24/2016,54,Monash University
7/31/2016,69,Monash University
8/7/2016,56,Monash University
8/14/2016,46,Monash University
8/21/2016,49,Monash University
8/28/2016,50,Monash University
9/4/2016,52,Monash University
9/11/2016,47,Monash University
9/18/2016,44,Monash University
9/25/2016,44,Monash University
10/2/2016,46,Monash University
10/9/2016,50,Monash University
10/16/2016,43,Monash University
10/23/2016,43,Monash University
10/30/2016,49,Monash University
11/6/2016,42,Monash University
11/13/2016,42,Monash University
11/20/2016,37,Monash University
11/27/2016,44,Monash University
12/4/2016,40,Monash University
12/11/2016,45,Monash University
12/18/2016,37,Monash University
12/25/2016,24,Monash University
1/1/2017,38,Monash University
1/8/2017,42,Monash University
1/15/2017,53,Monash University
1/22/2017,49,Monash University
1/29/2017,50,Monash University
2/5/2017,57,Monash University
2/12/2017,50,Monash University
2/19/2017,60,Monash University
2/26/2017,62,Monash University
3/5/2017,57,Monash University
3/12/2017,52,Monash University
3/19/2017,52,Monash University
3/26/2017,51,Monash University
4/2/2017,44,Monash University
4/9/2017,50,Monash University
4/16/2017,41,Monash University
4/23/2017,46,Monash University
4/30/2017,50,Monash University
5/7/2017,45,Monash University
5/14/2017,51,Monash University
5/21/2017,53,Monash University
5/28/2017,46,Monash University
6/4/2017,40,Monash University
6/11/2017,47,Monash University
6/18/2017,45,Monash University
6/25/2017,43,Monash University
7/2/2017,44,Monash University
7/9/2017,47,Monash University
7/16/2017,45,Monash University
7/23/2017,51,Monash University
7/30/2017,54,Monash University
8/6/2017,50,Monash University
8/13/2017,54,Monash University
8/20/2017,56,Monash University
8/27/2017,45,Monash University
9/3/2017,48,Monash University
9/10/2017,50,Monash University
9/17/2017,44,Monash University
9/24/2017,39,Monash University
10/1/2017,44,Monash University
10/8/2017,44,Monash University
10/15/2017,46,Monash University
10/22/2017,43,Monash University
10/29/2017,45,Monash University
11/5/2017,43,Monash University
11/12/2017,43,Monash University
11/19/2017,38,Monash University
11/26/2017,41,Monash University
12/3/2017,40,Monash University
12/10/2017,43,Monash University
12/17/2017,42,Monash University
12/24/2017,27,Monash University
12/31/2017,38,Monash University
1/7/2018,44,Monash University
1/14/2018,52,Monash University
1/21/2018,48,Monash University
1/28/2018,48,Monash University
2/4/2018,51,Monash University
2/11/2018,51,Monash University
2/18/2018,54,Monash University
2/25/2018,54,Monash University
3/4/2018,47,Monash University
3/11/2018,47,Monash University
3/18/2018,45,Monash University
3/25/2018,47,Monash University
4/1/2018,41,Monash University
4/8/2018,44,Monash University
4/15/2018,47,Monash University
4/22/2018,38,Monash University
4/29/2018,41,Monash University
5/6/2018,39,Monash University
5/13/2018,39,Monash University
5/20/2018,43,Monash University
6/2/2013,1,Blockchain
6/9/2013,1,Blockchain
6/16/2013,1,Blockchain
6/23/2013,1,Blockchain
6/30/2013,1,Blockchain
7/7/2013,1,Blockchain
7/14/2013,1,Blockchain
7/21/2013,1,Blockchain
7/28/2013,1,Blockchain
8/4/2013,1,Blockchain
8/11/2013,1,Blockchain
8/18/2013,1,Blockchain
8/25/2013,1,Blockchain
9/1/2013,1,Blockchain
9/8/2013,1,Blockchain
9/15/2013,1,Blockchain
9/22/2013,1,Blockchain
9/29/2013,1,Blockchain
10/6/2013,1,Blockchain
10/13/2013,1,Blockchain
10/20/2013,1,Blockchain
10/27/2013,1,Blockchain
11/3/2013,2,Blockchain
11/10/2013,2,Blockchain
11/17/2013,4,Blockchain
11/24/2013,5,Blockchain
12/1/2013,4,Blockchain
12/8/2013,3,Blockchain
12/15/2013,4,Blockchain
12/22/2013,3,Blockchain
12/29/2013,3,Blockchain
1/5/2014,3,Blockchain
1/12/2014,2,Blockchain
1/19/2014,3,Blockchain
1/26/2014,3,Blockchain
2/2/2014,3,Blockchain
2/9/2014,4,Blockchain
2/16/2014,3,Blockchain
2/23/2014,4,Blockchain
3/2/2014,3,Blockchain
3/9/2014,2,Blockchain
3/16/2014,3,Blockchain
3/23/2014,2,Blockchain
3/30/2014,2,Blockchain
4/6/2014,2,Blockchain
4/13/2014,2,Blockchain
4/20/2014,2,Blockchain
4/27/2014,2,Blockchain
5/4/2014,2,Blockchain
5/11/2014,2,Blockchain
5/18/2014,2,Blockchain
5/25/2014,2,Blockchain
6/1/2014,3,Blockchain
6/8/2014,2,Blockchain
6/15/2014,2,Blockchain
6/22/2014,2,Blockchain
6/29/2014,2,Blockchain
7/6/2014,2,Blockchain
7/13/2014,2,Blockchain
7/20/2014,2,Blockchain
7/27/2014,2,Blockchain
8/3/2014,2,Blockchain
8/10/2014,3,Blockchain
8/17/2014,3,Blockchain
8/24/2014,2,Blockchain
8/31/2014,2,Blockchain
9/7/2014,2,Blockchain
9/14/2014,2,Blockchain
9/21/2014,2,Blockchain
9/28/2014,2,Blockchain
10/5/2014,2,Blockchain
10/12/2014,2,Blockchain
10/19/2014,2,Blockchain
10/26/2014,2,Blockchain
11/2/2014,2,Blockchain
11/9/2014,2,Blockchain
11/16/2014,2,Blockchain
11/23/2014,2,Blockchain
11/30/2014,2,Blockchain
12/7/2014,2,Blockchain
12/14/2014,3,Blockchain
12/21/2014,2,Blockchain
12/28/2014,2,Blockchain
1/4/2015,3,Blockchain
1/11/2015,3,Blockchain
1/18/2015,3,Blockchain
1/25/2015,3,Blockchain
2/1/2015,2,Blockchain
2/8/2015,2,Blockchain
2/15/2015,2,Blockchain
2/22/2015,2,Blockchain
3/1/2015,2,Blockchain
3/8/2015,2,Blockchain
3/15/2015,2,Blockchain
3/22/2015,2,Blockchain
3/29/2015,2,Blockchain
4/5/2015,2,Blockchain
4/12/2015,2,Blockchain
4/19/2015,2,Blockchain
4/26/2015,2,Blockchain
5/3/2015,3,Blockchain
5/10/2015,3,Blockchain
5/17/2015,2,Blockchain
5/24/2015,3,Blockchain
5/31/2015,3,Blockchain
6/7/2015,3,Blockchain
6/14/2015,3,Blockchain
6/21/2015,2,Blockchain
6/28/2015,3,Blockchain
7/5/2015,4,Blockchain
7/12/2015,3,Blockchain
7/19/2015,3,Blockchain
7/26/2015,3,Blockchain
8/2/2015,3,Blockchain
8/9/2015,3,Blockchain
8/16/2015,3,Blockchain
8/23/2015,4,Blockchain
8/30/2015,4,Blockchain
9/6/2015,3,Blockchain
9/13/2015,4,Blockchain
9/20/2015,4,Blockchain
9/27/2015,4,Blockchain
10/4/2015,4,Blockchain
10/11/2015,4,Blockchain
10/18/2015,5,Blockchain
10/25/2015,7,Blockchain
11/1/2015,7,Blockchain
11/8/2015,6,Blockchain
11/15/2015,6,Blockchain
11/22/2015,5,Blockchain
11/29/2015,6,Blockchain
12/6/2015,6,Blockchain
12/13/2015,8,Blockchain
12/20/2015,7,Blockchain
12/27/2015,6,Blockchain
1/3/2016,6,Blockchain
1/10/2016,6,Blockchain
1/17/2016,7,Blockchain
1/24/2016,7,Blockchain
1/31/2016,7,Blockchain
2/7/2016,7,Blockchain
2/14/2016,8,Blockchain
2/21/2016,8,Blockchain
2/28/2016,8,Blockchain
3/6/2016,8,Blockchain
3/13/2016,7,Blockchain
3/20/2016,7,Blockchain
3/27/2016,8,Blockchain
4/3/2016,8,Blockchain
4/10/2016,9,Blockchain
4/17/2016,8,Blockchain
4/24/2016,10,Blockchain
5/1/2016,10,Blockchain
5/8/2016,11,Blockchain
5/15/2016,10,Blockchain
5/22/2016,10,Blockchain
5/29/2016,11,Blockchain
6/5/2016,10,Blockchain
6/12/2016,12,Blockchain
6/19/2016,11,Blockchain
6/26/2016,10,Blockchain
7/3/2016,11,Blockchain
7/10/2016,10,Blockchain
7/17/2016,10,Blockchain
7/24/2016,10,Blockchain
7/31/2016,10,Blockchain
8/7/2016,8,Blockchain
8/14/2016,9,Blockchain
8/21/2016,12,Blockchain
8/28/2016,10,Blockchain
9/4/2016,11,Blockchain
9/11/2016,11,Blockchain
9/18/2016,12,Blockchain
9/25/2016,11,Blockchain
10/2/2016,11,Blockchain
10/9/2016,14,Blockchain
10/16/2016,13,Blockchain
10/23/2016,13,Blockchain
10/30/2016,13,Blockchain
11/6/2016,14,Blockchain
11/13/2016,15,Blockchain
11/20/2016,15,Blockchain
11/27/2016,14,Blockchain
12/4/2016,15,Blockchain
12/11/2016,14,Blockchain
12/18/2016,13,Blockchain
12/25/2016,11,Blockchain
1/1/2017,15,Blockchain
1/8/2017,15,Blockchain
1/15/2017,15,Blockchain
